0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
43,40,88,59,67,11,80,66,46,19,40,5,43,45,32,42,12,66,87,74,57,42,2,92,73,67,63,2,12,31,38,59,23,88,62,71,87,94,12,85,69,78,99,46,17,36,53,87,5,63,74,47,49,96,47,75,64,39,93,23,39,42,37,38,68,26,97,82,74,39,70,5,70,51,11,80,20,68,54,50,58,35,25,69,93,99,28,22,31,25,54,42,43,68,76,24,4,100,49,62
24,58,39,49,82,24,45,58,32,38,8,19,69,40,8,45,91,73,71,63,5,23,36,22,10,100,50,2,17,33,38,10,31,79,41,1,54,52,96,26,100,17,52,5,69,1,38,30,37,8,35,28,69,29,61,14,88,15,61,80,100,78,55,45,91,97,83,100,91,90,18,21,47,48,82,30,79,45,8,7,95,19,39,40,25,89,85,61,14,90,64,47,79,11,48,51,66,45,48,97
86,74,33,66,82,71,25,20,98,9,14,8,6,59,4,63,20,10,36,58,38,9,32,7,45,64,58,23,26,86,57,62,21,5,1,68,89,74,11,81,55,20,41,28,55,100,100,84,62,22,88,77,11,38,63,46,25,100,1,85,8,40,45,57,36,60,45,25,43,82,14,39,17,3,26,100,26,45,85,60,15,12,42,75,98,6,57,2,59,44,33,87,4,82,96,7,65,83,24,62
70,7,10,58,21,2,78,57,28,10,61,50,16,4,57,31,75,62,67,98,91,100,71,37,83,18,60,84,81,19,3,10,50,35,72,89,79,77,64,79,45,10,11,73,48,28,10,88,99,33,66,67,95,74,67,97,82,37,2,93,19,29,45,56,34,18,45,52,28,29,33,50,1,5,89,16,26,83,82,91,77,75,1,84,85,17,45,53,63,18,60,81,46,3,17,33,65,81,86,73
28,6,67,2,29,68,82,46,95,10,46,60,14,47,80,56,90,81,43,66,84,66,20,15,88,20,91,97,49,47,8,98,46,40,42,26,28,63,10,28,36,98,27,89,77,56,15,66,31,58,35,15,33,1,68,63,98,33,64,58,53,69,69,29,96,14,29,79,93,92,38,48,78,25,28,42,72,61,28,99,56,56,100,71,66,68,97,89,25,4,50,29,42,45,17,46,9,39,87,31
89,27,15,52,44,37,70,100,44,78,24,39,64,66,30,65,21,70,45,39,35,61,37,2,84,12,46,80,76,47,76,41,11,49,21,53,86,9,85,94,74,96,5,37,25,70,38,18,68,84,12,39,16,51,59,8,39,49,2,58,73,33,24,64,93,78,8,76,36,67,28,53,33,85,4,75,7,62,96,84,13,70,88,11,31,43,31,10,28,68,26,92,89,77,13,96,9,91,13,29
66,81,29,24,88,8,20,28,46,74,88,55,20,60,92,32,55,56,98,95,81,20,10,21,70,52,66,61,72,29,19,47,46,4,19,48,92,27,50,25,21,100,70,19,34,65,15,56,30,5,30,4,46,44,17,48,12,46,64,79,56,30,95,60,15,12,96,18,60,8,95,27,72,57,54,35,45,43,67,31,21,9,48,37,64,25,62,81,79,19,75,13,65,2,12,57,55,96,75,73
67,79,11,26,9,53,14,65,3,29,11,64,40,58,4,28,10,12,20,85,14,54,22,78,40,17,85,61,80,64,24,59,63,60,67,97,54,79,24,94,92,61,2,70,31,51,23,4,4,16,51,28,60,38,85,37,97,10,15,67,11,43,67,93,43,13,37,93,47,75,42,28,89,79,92,41,46,20,46,55,9,66,76,48,30,11,24,3,59,67,4,37,94,14,86,24,76,68,87,18
89,11,26,13,44,83,45,7,17,51,85,2,84,20,54,59,45,45,11,88,95,28,3,40,92,89,95,3,14,45,32,83,72,69,17,88,66,73,52,71,7,91,24,56,28,60,72,87,93,6,66,15,13,57,41,97,50,75,93,86,89,45,67,5,93,31,44,32,31,30,16,59,68,20,57,97,77,61,66,57,79,4,53,91,85,51,89,13,33,54,95,42,39,99,51,82,28,74,15,36
6,45,73,22,93,85,92,93,67,66,57,88,6,11,89,29,17,88,33,96,54,29,92,48,9,81,93,81,49,63,72,17,42,78,37,37,48,51,65,69,88,44,56,64,5,43,76,25,33,26,80,29,21,95,34,31,11,1,22,48,23,22,9,46,33,91,39,13,73,79,96,16,99,3,22,35,54,1,67,51,18,53,90,77,56,79,59,82,86,83,93,94,14,51,85,26,44,9,8,69
59,92,94,3,2,61,48,72,18,89,37,55,97,48,56,10,10,1,36,16,8,83,71,18,11,16,66,10,13,3,58,68,68,75,13,24,51,22,96,52,38,50,20,68,70,53,96,53,65,82,48,86,6,36,67,68,36,87,81,34,75,87,69,56,69,48,63,19,2,28,79,82,8,13,5,22,25,60,63,29,100,4,64,37,17,5,85,62,9,46,32,89,84,91,75,37,37,81,94,48
86,8,89,95,60,77,18,76,63,83,40,65,91,6,19,93,21,35,13,12,56,9,40,55,60,81,7,35,11,5,12,6,65,81,27,70,1,48,100,33,33,9,21,19,95,89,76,59,96,17,85,1,75,96,5,92,89,19,39,51,72,46,71,43,67,54,94,85,71,23,27,74,93,80,33,23,68,17,3,3,27,97,74,68,99,81,54,47,9,13,11,52,5,22,16,89,75,18,40,51
30,100,21,42,86,41,53,11,68,30,65,85,22,58,30,18,84,41,30,58,23,25,70,21,54,91,22,29,1,19,55,25,73,88,5,88,8,6,11,42,89,70,37,18,1,45,83,92,20,81,11,64,22,67,57,57,21,72,21,67,41,41,95,93,21,68,84,49,73,19,31,59,91,62,23,54,49,100,27,11,81,18,25,72,53,32,81,74,49,84,39,81,8,16,55,63,78,53,39,14
4,97,85,62,58,65,57,11,78,28,30,71,55,87,57,77,39,30,14,80,45,46,77,11,93,44,66,60,9,90,48,24,74,63,68,16,2,65,46,74,42,37,77,25,52,5,39,24,89,94,88,97,98,17,16,43,79,44,96,68,89,43,100,82,79,48,26,86,97,74,9,99,74,4,91,8,77,53,69,57,11,4,24,67,42,76,79,62,100,1,99,83,21,95,23,88,9,42,35,58
91,84,92,70,95,10,11,13,81,43,85,34,65,28,40,40,92,90,54,41,59,99,86,78,66,11,62,12,67,74,40,46,86,11,70,20,51,26,91,42,2,88,69,94,3,13,35,30,85,49,34,81,64,59,76,77,78,96,65,11,91,42,15,91,48,10,84,100,49,77,49,59,41,56,83,70,27,79,50,60,78,67,60,34,38,34,1,40,99,95,69,8,56,24,95,79,34,13,87,1
9,2,41,69,5,1,69,11,99,22,5,74,95,81,25,54,37,63,66,7,26,80,62,29,18,61,34,27,72,38,69,73,77,45,56,63,97,21,40,40,29,18,86,58,46,13,50,64,81,29,80,13,44,31,8,10,68,1,37,12,1,47,6,76,60,96,52,17,45,2,16,46,11,50,59,66,62,90,69,23,2,2,24,90,82,41,1,86,23,78,39,43,99,82,49,28,51,15,50,74
82,64,30,75,55,83,8,59,57,43,84,87,60,79,27,69,38,70,26,3,39,61,14,22,95,21,60,89,52,48,17,30,98,9,63,53,84,28,81,76,19,38,56,9,90,80,19,93,77,81,50,46,19,85,61,35,49,2,76,20,4,83,23,8,90,42,17,44,34,11,50,56,30,56,47,64,58,10,20,23,50,55,50,58,35,75,55,31,88,77,45,52,64,46,28,73,11,4,11,5
71,16,75,72,98,82,29,89,50,80,87,1,59,95,25,98,60,30,48,36,30,64,89,82,90,97,33,46,39,61,2,71,4,35,46,33,76,33,7,61,78,40,97,92,73,26,35,59,74,26,97,78,3,88,57,24,17,98,45,72,71,59,65,97,22,53,21,64,64,19,11,74,29,99,74,85,36,14,39,62,88,33,53,81,83,9,80,39,20,77,60,77,34,13,18,100,39,58,72,71
87,86,94,84,54,81,75,97,28,42,3,89,71,45,31,72,100,100,74,28,19,52,14,6,17,56,75,90,54,1,56,2,23,93,25,70,49,36,92,94,43,77,25,100,57,67,4,57,7,73,11,88,78,47,85,36,20,93,100,1,43,31,36,57,49,48,71,75,73,36,11,86,81,4,27,44,46,44,47,39,60,69,40,7,1,88,32,75,91,75,47,46,24,63,37,64,15,100,3,94
6,56,65,30,18,18,86,62,69,59,38,63,98,57,20,5,29,94,94,75,89,1,55,54,32,28,58,45,69,50,7,67,12,18,82,89,66,81,78,48,32,9,48,6,19,80,84,41,17,30,21,71,82,66,9,63,40,64,77,57,25,92,8,77,24,54,20,62,44,62,77,96,37,28,65,71,40,84,1,93,69,73,23,47,11,93,18,92,20,53,84,5,36,14,32,43,22,52,58,49
21,49,29,87,5,46,22,87,65,11,17,81,81,94,4,81,45,14,8,41,83,18,59,22,86,49,52,92,69,92,64,73,81,72,84,1,20,28,20,7,84,68,77,97,39,12,73,33,23,63,21,79,3,55,14,85,95,55,1,97,56,23,43,81,97,23,54,49,23,89,29,88,69,84,18,38,23,8,73,64,18,93,75,22,63,40,62,61,34,92,31,18,30,20,80,54,53,12,17,49
81,11,45,9,9,46,21,26,38,11,33,3,60,91,49,76,25,32,28,72,79,32,6,85,60,98,44,36,46,33,77,22,96,70,68,69,97,17,1,83,31,86,34,54,2,45,93,40,34,11,54,59,5,57,82,94,96,92,62,63,13,1,59,98,96,26,21,65,52,14,49,78,23,51,47,91,50,53,45,64,35,28,68,62,91,72,14,60,33,54,5,72,44,74,56,56,17,62,64,70
9,33,61,81,92,94,41,74,26,99,39,26,58,16,48,18,77,41,7,16,57,33,65,15,96,23,99,51,90,60,68,34,95,8,83,18,86,51,13,50,67,67,51,12,16,56,65,59,90,20,77,6,60,1,81,73,17,7,50,40,43,44,90,32,32,64,92,58,19,62,65,81,60,86,2,48,65,45,4,53,23,72,11,97,63,80,3,39,58,64,48,38,59,51,55,77,46,81,13,9
67,61,35,57,73,81,26,30,54,28,10,41,96,52,11,16,8,79,28,64,3,23,29,7,74,82,9,93,41,24,16,22,96,70,39,61,72,9,94,27,3,57,44,29,23,39,19,79,50,76,61,13,74,88,33,29,24,85,7,97,12,98,94,15,27,36,35,25,30,92,36,82,28,87,40,79,12,33,35,52,51,53,87,73,76,26,51,17,34,91,73,36,78,33,91,82,37,31,49,43
41,28,45,56,8,28,11,83,23,76,53,64,34,47,86,72,59,8,39,88,45,73,87,39,28,90,67,75,99,75,57,100,69,40,27,64,78,11,97,27,12,39,71,14,14,75,56,86,26,65,41,17,18,82,82,40,60,18,1,29,98,81,23,59,88,43,83,53,48,12,45,27,54,58,81,80,99,57,77,44,29,79,11,83,43,59,13,77,59,34,36,10,94,15,70,36,37,47,10,63
26,89,37,47,85,32,31,54,34,90,27,23,64,11,85,53,7,97,92,91,13,90,53,37,36,88,66,79,5,69,39,93,68,14,38,100,59,21,14,40,97,30,17,15,64,57,80,13,43,90,29,72,86,87,51,65,34,68,6,88,77,21,56,85,31,14,13,93,67,71,36,99,11,30,52,94,58,43,51,20,65,21,44,67,29,84,57,27,5,22,17,22,75,77,52,52,100,22,23,44
12,15,2,71,19,45,11,27,46,50,64,84,76,85,18,46,85,33,59,38,28,36,10,93,23,97,71,42,51,53,99,63,81,20,81,64,95,92,100,11,99,47,65,33,61,76,94,81,4,65,28,83,64,72,75,73,66,57,26,80,69,35,29,1,45,26,6,16,2,78,57,29,43,68,48,62,89,36,10,52,66,58,20,87,33,25,18,98,45,1,4,59,70,11,57,36,46,79,38,59
52,2,6,40,17,81,76,67,43,36,89,80,47,27,86,15,43,78,97,4,20,94,77,93,88,14,69,2,86,25,56,58,39,71,66,57,92,85,97,71,85,32,44,31,51,11,22,96,50,25,29,89,74,2,29,48,100,94,2,95,8,53,75,51,6,36,51,52,98,64,94,97,87,99,84,49,21,78,87,27,62,83,97,72,16,26,54,80,92,47,41,20,83,96,21,74,23,96,76,11
55,23,41,96,89,34,12,88,32,98,61,59,74,86,61,18,23,78,24,85,83,39,49,92,69,25,77,57,1,39,68,87,42,34,67,80,35,22,51,48,87,45,33,75,39,40,69,42,3,62,37,53,94,16,77,89,28,19,6,17,32,71,29,33,32,6,61,6,43,12,2,53,96,62,75,40,62,100,17,46,5,1,15,42,62,28,43,38,28,76,15,14,93,69,65,20,17,9,19,81
52,22,65,56,5,93,39,29,97,37,99,55,46,74,49,30,49,90,75,6,48,78,84,100,83,90,52,99,67,83,25,58,55,58,79,45,10,87,86,74,71,38,70,32,39,57,76,63,95,16,63,88,74,73,86,84,95,87,46,11,13,63,75,62,78,8,75,93,33,95,21,80,34,62,52,50,63,12,37,88,62,60,62,50,34,77,85,99,6,97,96,30,71,49,59,40,72,74,45,13
77,86,17,23,33,97,1,53,93,21,54,54,16,46,92,10,69,81,58,29,34,99,59,92,80,70,43,60,44,40,84,84,74,99,47,61,84,52,96,88,9,17,11,36,62,20,93,55,83,74,90,96,79,75,75,30,9,91,3,92,80,19,47,84,99,81,40,100,56,12,89,78,74,99,67,14,36,61,37,20,3,100,67,59,66,88,20,2,91,34,68,43,34,63,6,65,80,69,7,33
89,82,67,82,75,81,18,69,59,21,32,82,41,1,11,36,46,66,20,55,40,24,88,63,72,21,24,70,40,95,98,43,1,76,87,87,15,88,80,35,98,14,17,72,24,99,72,35,8,49,60,99,49,52,8,12,23,54,18,67,66,14,11,99,65,57,93,34,85,31,93,81,97,55,44,100,96,80,21,29,86,46,92,100,18,1,80,6,39,67,37,75,82,95,30,54,57,7,81,16
74,54,69,40,81,39,31,75,88,79,47,35,67,37,36,15,93,47,72,28,17,45,12,91,52,3,86,53,68,45,72,76,61,76,51,12,82,68,96,33,56,46,94,26,30,32,65,54,32,76,15,5,46,76,22,81,33,85,11,40,62,69,26,1,55,64,56,59,92,37,11,72,85,54,63,21,8,75,92,23,84,73,30,21,17,68,44,31,56,69,38,82,86,76,1,79,38,61,22,33
50,7,6,68,75,4,31,46,83,58,5,59,100,38,2,85,27,32,52,75,97,27,51,41,95,55,87,72,56,63,28,79,93,99,70,22,96,60,22,89,78,70,18,18,51,68,29,3,40,95,39,13,74,72,70,19,96,69,64,49,99,39,34,74,52,90,61,33,55,91,77,25,98,24,17,37,27,76,99,96,10,15,34,73,88,20,20,18,23,4,25,35,26,29,67,63,7,98,81,51
47,63,62,8,29,72,49,21,38,7,70,14,93,73,1,60,62,90,78,13,7,12,33,24,67,77,33,70,75,8,87,84,5,22,31,10,83,53,55,72,85,26,4,66,81,98,11,2,4,45,50,15,25,57,9,39,30,91,61,49,60,3,95,64,39,11,64,37,62,73,10,90,99,20,61,36,71,25,84,25,87,89,67,65,11,24,62,55,21,47,92,25,94,31,23,48,44,66,27,20
16,65,52,91,91,70,88,38,79,18,19,24,78,96,29,11,72,3,41,38,42,17,70,67,3,30,30,57,70,81,1,75,77,39,5,30,13,83,42,18,3,30,88,26,53,47,91,27,54,2,81,100,1,53,22,66,23,66,97,68,70,71,45,11,96,26,70,31,58,78,88,83,15,82,45,25,25,96,98,2,32,29,97,10,4,6,22,72,88,88,52,52,81,68,13,80,23,82,24,39
13,93,84,36,87,81,70,48,57,66,16,55,89,18,95,42,80,11,19,87,88,37,82,67,86,61,97,66,34,87,31,58,38,1,76,70,75,56,44,23,37,15,78,75,22,86,35,49,33,57,28,14,7,87,57,30,85,66,15,12,48,76,87,77,20,91,4,56,89,70,58,34,65,80,42,28,15,73,34,67,55,25,20,75,1,38,81,73,52,51,49,57,34,27,93,81,45,76,72,46
8,61,71,28,42,73,32,56,47,48,29,70,5,84,93,17,45,8,8,8,38,37,90,20,60,95,88,71,54,87,48,36,66,60,44,38,86,37,25,60,55,7,93,39,57,17,3,68,38,74,96,39,30,97,75,23,54,35,30,80,80,93,98,23,34,53,62,40,26,76,18,72,39,100,34,20,99,9,61,41,37,39,57,62,39,52,26,80,5,66,84,49,51,1,97,21,94,98,70,6
38,18,77,83,45,52,91,2,13,10,25,88,1,35,100,50,51,20,37,97,74,18,83,21,95,7,27,82,50,2,61,58,82,19,13,30,13,26,49,19,87,30,65,99,73,69,8,68,7,71,31,91,77,100,85,76,95,24,23,54,93,5,9,9,89,64,18,59,36,58,66,11,83,37,81,94,4,67,24,61,47,83,37,86,6,38,55,46,16,18,50,14,35,20,56,75,89,31,47,51
1,95,7,2,54,88,71,78,40,51,86,98,95,12,66,85,87,100,71,81,62,30,45,98,78,55,32,46,27,11,34,45,86,47,98,45,91,75,84,22,26,25,14,21,4,94,34,53,84,78,64,69,34,6,87,25,42,95,83,65,16,30,9,98,40,17,80,53,86,71,48,2,86,28,3,78,53,85,98,56,39,56,58,71,71,79,94,1,55,95,12,56,91,12,95,29,65,31,35,20
48,66,74,98,48,39,81,41,97,67,70,41,83,35,59,3,75,28,56,49,44,9,29,56,69,24,85,43,32,53,11,45,56,53,73,58,25,58,27,53,90,38,27,96,65,43,65,2,81,88,92,66,65,71,28,6,6,79,77,80,89,60,30,81,48,3,21,99,84,81,51,6,2,36,47,73,24,74,67,98,36,55,62,37,45,20,91,93,28,64,54,57,41,67,85,84,84,72,43,48
23,40,16,15,1,69,48,37,37,21,25,76,56,25,66,66,65,84,54,91,30,82,90,79,27,76,91,3,79,52,60,19,12,49,43,28,2,10,67,63,92,95,56,1,77,29,24,35,90,85,67,19,12,40,88,83,37,82,74,59,54,98,86,33,2,50,99,60,23,46,41,7,92,28,27,28,91,78,82,94,29,61,46,57,17,67,48,34,58,53,46,63,41,35,58,94,80,57,99,100
37,74,73,44,90,9,68,62,9,9,10,75,39,99,20,43,88,49,18,66,29,18,61,40,10,41,9,90,94,12,20,79,13,13,77,45,31,86,21,76,61,80,4,45,82,46,83,81,32,96,54,80,86,91,80,8,81,56,6,67,43,10,93,68,80,53,63,49,80,19,76,62,20,18,28,90,39,71,78,96,68,65,44,43,29,20,50,3,27,67,92,22,53,83,95,25,65,33,77,25
95,9,75,13,81,8,8,71,79,56,74,29,23,32,93,3,79,48,96,61,73,16,72,47,41,23,69,15,94,98,32,8,7,30,63,15,73,88,81,6,36,61,99,18,37,63,93,76,89,40,68,10,78,82,95,6,84,95,11,90,52,28,52,4,87,34,9,62,83,56,89,82,61,43,27,74,87,87,62,38,18,20,13,81,63,36,1,64,60,11,68,5,4,71,59,73,44,48,68,74
